0.3,0.0,21.0
0.7,0.0,20.9
4.7,0.010033,20.8
3.8,0.00027,20.7
2.1,0.000411,20.7
0.3,0.000356,20.6
2.1,0.0,20.7
1.7,0.011168,20.9
0.7,0.001086,20.9
0.8,0.021379,20.5
2.8,0.010972,20.5
6.3,0.018425,21.0
9.8,0.156448,21.8
17.0,0.037267,21.9
5.2,0.03612,21.7
3.0,0.027938,21.4
0.5,0.0,19.8
1.1,0.0,19.7
7.5,0.001726,20.0
0.6,0.015317,20.0
3.1,0.019762,20.1
0.8,0.0,19.9
13.1,0.00027,19.8
13.2,0.000198,19.7
14.3,0.013993,20.0
21.5,0.158645,20.7
23.1,0.036693,21.0
13.0,0.011513,21.0
12.6,0.020149,21.0
20.6,0.00027,19.9
25.7,0.018025,20.2
14.5,0.013876,20.3
14.1,0.010723,20.1
14.2,0.001609,20.0
14.1,0.038267,20.1
20.0,0.125371,20.6
20.9,0.060569,21.2
13.8,0.01395,21.2
18.0,0.031733,21.2
13.8,0.0,19.8
15.6,0.019675,20.0
14.9,0.0,20.3
13.0,0.00027,20.3
14.9,0.01373,20.2
13.7,0.000676,20.2
13.9,0.026588,20.2
20.1,0.077007,20.8
18.9,0.140273,20.9
16.8,0.029549,21.3
27.6,0.136499,21.5
18.2,0.061818,21.6
14.0,0.004594,21.4
14.0,0.031213,21.3
15.5,0.000397,21.4
18.0,0.070387,22.7
16.1,0.041806,22.7
18.0,0.48184,22.5
16.1,2.82846,22.3
15.5,1.030397,23.2
18.3,2.510312,23.0
16.4,0.230974,22.7
13.1,0.019475,22.5
13.1,0.049807,21.9
14.7,0.040303,22.0
15.8,0.030597,22.0
15.5,0.605475,22.0
15.5,1.82587,21.9
15.1,1.352563,21.9
15.4,1.25671,21.8
15.4,1.625042,21.6
17.9,1.113062,22.2
15.7,1.190115,22.2
15.5,1.651689,22.0
15.7,1.343253,21.8
15.4,1.691116,21.8
15.5,3.266064,21.8
14.8,3.510018,21.8
15.1,2.223711,21.6
15.3,1.124047,21.6
16.5,0.063445,21.9
15.2,0.000319,21.7
15.5,0.009127,21.7
16.5,17.025148,21.8
17.2,31.608696,22.1
17.0,27.948311,22.3
16.4,39.89011,22.4
16.4,31.425152,22.5
15.0,23.406117,22.0
15.6,2.558175,21.8
15.9,2.875284,21.7
15.4,3.528384,21.6
15.4,4.624108,21.5
15.8,4.362518,21.5
20.0,3.768685,21.8
15.7,1.134228,21.6
21.8,2.153273,23.7
17.6,0.051042,24.2
17.3,0.975799,23.5
19.2,0.477326,24.2
16.2,0.628689,23.6
18.9,11.786402,23.7
18.5,16.359987,23.6
17.9,16.5054,23.5
18.1,16.133553,24.5
16.2,23.477221,24.5
15.3,30.174336,24.1
17.8,0.230103,23.3
14.6,2.875041,23.8
15.4,2.426704,23.7
17.8,4.970996,23.6
16.8,4.237833,23.8
17.4,4.466582,23.1
17.2,3.639551,23.2
20.4,2.283837,22.7
16.6,2.154927,22.7
15.7,1.069743,22.5
17.0,1.865543,22.6
14.6,1.095634,22.7
17.5,1.92662,22.7
15.4,0.0,23.1
15.3,0.0,22.8
15.4,0.000104,22.8
17.4,0.000422,22.7
16.4,0.001638,22.8
16.2,2.036355,22.8
16.8,0.0,22.4
15.8,0.0,22.5
15.0,0.005532,22.5
19.0,0.004377,22.6
16.8,0.065369,22.6
18.1,0.034738,22.9
17.9,0.107756,22.9
19.5,0.044505,23.4
13.7,0.033696,23.6
